,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
179,2021024,01,04,06,10,11,18,02,9亿3647万4051元,5,"9,223,370",139,"189,899","360,465,214",2021-03-09
180,2021023,02,21,22,23,27,28,11,9亿0340万2709元,4,"9,744,205",85,"279,070","397,987,234",2021-03-07
181,2021022,10,15,17,25,31,32,06,8亿7121万6452元,3,"10,000,000",84,"266,346","361,605,820",2021-03-04
182,2021021,04,08,17,24,28,33,13,8亿3409万7039元,19,"5,979,263",155,"150,048","350,734,702",2021-03-02
183,2021020,01,03,06,07,09,11,02,8亿7793万0510元,19,"6,085,156",505,"51,034","385,685,036",2021-02-28
184,2021019,12,16,17,24,28,29,08,9亿1623万1105元,6,"6,344,519",104,"96,960","351,320,330",2021-02-25
185,2021018,02,08,14,23,25,32,06,9亿2404万6536元,3,"10,000,000",128,"193,330","352,299,530",2021-02-23
186,2021017,09,15,18,29,32,33,02,8亿7980万7720元,6,"8,959,033",116,"255,972","442,443,732",2021-02-21
187,2021016,03,08,09,13,15,18,10,8亿4448万3666元,16,"6,134,153",192,"118,140","447,622,614",2021-02-07
188,2021015,06,14,16,26,28,29,07,8亿7458万0915元,6,"7,672,352",93,"215,512","373,264,066",2021-02-04
189,2021014,04,15,21,25,29,33,06,8亿6048万7095元,0,0,0,0,"365,029,152",2021-02-02
190,2021013,06,09,12,16,27,31,06,8亿1249万0648元,17,"5,756,403",169,"95,109","403,024,326",2021-01-31
191,2021012,03,06,14,18,20,26,01,- -,- -,- -,- -,- -,- -,2021-01-28
192,2021011,05,10,16,23,27,33,14,9亿0719万2691元,18,"5,425,200",228,"41,960","358,439,884",2021-01-26
193,2021010,01,04,11,19,32,33,05,9亿7614万5268元,7,"8,060,622",129,"207,600","394,795,416",2021-01-24
194,2021009,02,04,07,24,25,32,13,9亿5222万8282元,4,"10,000,000",57,"502,273","367,324,734",2021-01-21
195,2021008,01,05,07,14,18,33,07,9亿0633万9544元,4,"8,728,131",86,"216,751","358,122,646",2021-01-19
196,2021007,02,04,12,21,25,32,16,8亿8533万0100元,3,"10,000,000",104,"298,114","389,232,822",2021-01-17
197,2021006,06,08,22,24,25,26,01,8亿2231万8331元,10,"7,377,222",194,"153,171","367,900,704",2021-01-14
198,2021005,07,09,14,26,30,31,04,8亿0694万4718元,14,"6,353,946",76,"311,764","359,757,108",2021-01-12
199,2021004,02,03,07,08,17,22,15,8亿2481万7771元,2,"10,000,000",208,"145,638","396,531,778",2021-01-10
200,2021003,06,09,16,18,22,29,11,7亿5393万9585元,5,"9,406,368",136,"202,498","360,514,540",2021-01-07
201,2021002,06,10,13,25,26,32,11,7亿1835万2017元,10,"7,105,919",185,"142,291","374,374,440",2021-01-05
202,2021001,02,03,13,18,20,31,11,7亿1043万9245元,10,"7,034,106",126,"201,796","411,170,524",2021-01-03
203,2020134,02,09,10,20,22,26,01,7亿0450万1324元,48,"5,382,786",275,"83,517","399,565,532",2020-12-31
204,2020133,03,19,22,23,27,29,07,8亿9397万3468元,3,"10,000,000",99,"283,877","370,330,222",2020-12-29
205,2020132,01,04,11,12,14,23,04,8亿3966万1890元,5,"10,000,000",106,"309,129","425,174,496",2020-12-27
206,2020131,08,19,22,26,27,30,07,7亿9135万8796元,10,"6,733,037",139,"155,848","394,370,394",2020-12-24
207,2020130,08,09,11,14,17,29,16,7亿9370万0272元,9,"7,096,662",160,"147,421","405,085,034",2020-12-22
208,2020129,01,02,05,15,28,33,04,- -,- -,- -,- -,- -,- -,2020-12-20
209,2020128,08,10,15,16,23,26,10,7亿9469万9858元,14,"6,055,174",137,"134,785","395,094,864",2020-12-17
210,2020127,01,04,18,19,26,31,07,8亿2407万5658元,9,"6,838,584",183,"113,027","385,288,238",2020-12-15
211,2020126,03,07,12,14,23,28,11,8亿2357万0698元,33,"5,506,107",337,"61,949","423,827,948",2020-12-13
212,2020125,05,12,16,26,30,31,13,9亿4264万1447元,8,"8,008,557",162,"185,713","403,248,064",2020-12-10
213,2020124,16,18,19,20,29,33,12,9亿1645万3174元,3,"10,000,000",53,"485,568","394,367,604",2020-12-08
214,2020123,01,03,18,19,26,29,03,8亿6924万7735元,5,"10,000,000",106,"343,394","442,277,628",2020-12-06
215,2020122,12,15,17,24,26,31,15,8亿1004万8147元,7,"8,506,055",484,"63,384","416,050,434",2020-12-03
216,2020121,02,04,06,21,25,29,03,7亿7755万6587元,5,"9,656,537",91,"319,817","425,615,038",2020-12-01
217,2020120,01,02,03,04,09,10,12,7亿3852万9199元,28,"5,529,239",535,"34,623","470,788,664",2020-11-29
218,2020119,01,09,22,28,32,33,15,8亿3777万7744元,12,"6,880,004",117,"241,026","432,978,556",2020-11-26
219,2020118,11,13,19,26,30,33,05,8亿3573万7606元,4,"10,000,000",114,"262,410","419,968,358",2020-11-24
220,2020117,07,08,09,10,16,27,07,- -,- -,- -,- -,- -,- -,2020-11-22
221,2020116,05,06,14,16,19,27,10,8亿4113万5768元,9,"6,979,667",172,"129,484","434,234,564",2020-11-19
222,2020115,01,04,12,20,25,32,02,8亿3713万8988元,2,"10,000,000",114,"291,499","435,736,254",2020-11-17
223,2020114,01,05,11,24,30,32,03,7亿5744万6327元,16,"6,478,657",171,"172,942","476,450,128",2020-11-15
224,2020113,01,03,07,10,22,32,11,7亿7238万5388元,7,"5,279,749",114,"21,472","436,471,868",2020-11-12
225,2020112,02,09,12,17,28,32,05,8亿0200万0209元,14,"6,657,801",263,"110,309","426,910,448",2020-11-10
226,2020111,06,09,17,22,24,26,16,8亿0817万4858元,3,"10,000,000",106,"365,368","459,469,274",2020-11-08
227,2020110,02,06,09,14,22,25,04,7亿2198万7721元,9,"6,744,907",102,"192,453","365,150,166",2020-11-05
228,2020109,06,13,16,20,23,32,13,7亿2380万1259元,23,"5,708,816",133,"153,221","358,593,188",2020-11-03
229,2020108,10,12,15,17,23,32,05,7亿9396万8638元,18,"5,973,588",123,"178,095","398,129,794",2020-11-01
230,2020107,03,09,11,24,25,28,16,8亿3577万6030元,5,"9,250,245",185,"143,589","372,099,740",2020-10-29
231,2020106,02,04,11,15,18,28,10,8亿0233万5158元,14,"5,906,931",123,"129,034","362,151,946",2020-10-27
232,2020105,06,14,19,20,22,24,01,8亿3741万8291元,6,"8,700,739",117,"237,226","399,513,718",2020-10-25
233,2020104,04,08,10,16,27,29,09,8亿0635万6097元,9,"6,582,593",102,"174,550","371,069,028",2020-10-22
234,2020103,04,09,10,22,28,32,08,8亿1218万6919元,13,"6,122,197",136,"134,086","363,566,614",2020-10-20
235,2020102,09,10,19,25,26,29,08,8亿3706万8374元,73,"5,028,416",472,"6,000","385,810,668",2020-10-18
236,2020101,10,17,24,25,28,30,15,11亿9636万3693元,7,"8,298,609",109,"264,796","360,073,112",2020-10-15
